practice,pct,rural_urban_code,mean_percentile,num_gps_june,num_gps_sept,CL,PH,PHAS,TOTAL,Value_imd,Value_satisfaction,Value_long_term_health,Value_over_65,Value_under_18,dispensing_patients,total_items,list_size,Principal Supplier,Principal System
A81006,00K,4,0.42615092473577876,8.0,8.0,425.71999999999997,97.0,27.0,549.72,31.791514825886697,85.09676878642391,51.838238733049,18.484407820326396,20.8612053643561,0.0,330733.0,13844.916666666666,TPP,SystmOne
A81007,00K,4,0.4051900885239452,9.0,10.0,430.68,97.0,27.0,554.6800000000001,32.0680377666633,86.1942885707074,58.50773199038879,18.595631761584002,21.475811390079603,0.0,195468.0,9959.25,EMIS,EMIS Web
A81008,00M,3,0.0,,,428.28,97.0,27.0,552.28,,,,,,,32.0,3973.0,,
A81009,00M,4,0.37194496182382464,5.0,5.0,433.99999999999994,87.0,27.0,548.0,35.263877515310604,66.261000291606,60.34523492364921,15.063401836467,22.114123305640604,0.0,210899.0,8956.833333333332,TPP,SystmOne
A81010,,,,,,,,,,,,,,,,,,,
A81011,00K,4,0.3950926350019019,5.0,5.0,434.96000000000004,93.21,27.0,555.1700000000001,34.6270615157052,88.0872600157893,58.8037834958999,18.794048551292104,19.6867658574785,0.0,269270.0,11789.416666666668,TPP,SystmOne
A81012,00M,4,0.44088789109479837,2.0,2.0,418.03,97.0,27.0,542.03,50.1289394572025,78.7027901933979,65.0553662326474,13.8204592901879,23.2066805845512,0.0,164223.0,4773.5,TPP,SystmOne
A81013,00M,3,0.46292714527104906,4.0,4.0,435.0,97.0,27.0,559.0,29.955487852283802,91.1662420792848,57.1663124354644,18.5131195335277,22.0796890184645,0.0,157910.0,6304.083333333333,TPP,SystmOne
A81014,00K,4,0.4239136309325803,3.0,3.0,434.25,97.0,27.0,558.25,22.235720576671,82.46499866934029,70.4946464243608,27.916120576671,16.0209698558322,0.0,107386.0,3816.9166666666665,TPP,SystmOne
A81015,00M,3,0.40850448255221955,2.0,2.0,395.88999999999993,91.07,27.0,513.9599999999999,24.500578828099698,78.56740452835041,62.7597137743925,18.525703200775897,17.044940187520197,0.0,75638.0,2958.333333333333,EMIS,EMIS Web
A81016,00M,4,0.4781294241643896,6.0,5.0,428.25,96.75999999999999,27.0,552.01,43.8037803288861,82.55893535567701,53.5885515169981,13.466308391897499,21.659776767259196,0.0,208484.0,9758.0,TPP,SystmOne
A81017,00K,4,0.44248835408581727,10.0,9.0,433.42,97.0,27.0,557.4200000000001,18.988191168629697,50.2307113792914,43.1510805967884,14.194391980241198,24.1784105767834,0.0,406415.0,20159.416666666668,TPP,SystmOne
A81018,00M,3,0.4686407181368541,4.0,4.0,431.66999999999996,87.48,26.04,545.1899999999999,29.5430167296276,62.4272334886154,53.284117332902696,20.672558741108,19.7736581159733,0.0,267418.0,9738.083333333334,TPP,SystmOne
A81019,00M,4,0.46830511691248194,5.0,6.0,407.44000000000005,97.0,27.0,531.44,49.49477707747501,55.1572451877892,60.5864469019928,14.421399496026401,24.5532079860438,0.0,249160.0,10077.166666666668,TPP,SystmOne
A81020,00M,4,0.5396720272382253,2.0,4.0,421.69,82.4,24.0,528.09,31.523121750158502,86.58038095884109,48.8905063057621,22.1757322175732,20.101432737416,0.0,196927.0,7814.333333333333,TPP,SystmOne
A81021,00M,3,0.5075454463781363,7.0,8.0,429.57000000000005,95.96000000000001,27.0,552.5300000000001,34.7531374838856,92.66905258934608,57.6705817181772,19.5118253486962,20.6337174044876,0.0,385839.0,13356.666666666666,EMIS,EMIS Web
A81022,00M,3,0.4745039095509275,5.0,5.0,421.91,97.0,26.84,545.7500000000001,27.7102365681353,60.7776750921839,55.5677871212461,20.1617401003904,20.2528350994609,0.0,266364.0,10551.75,TPP,SystmOne
A81023,00M,,0.5222544394489769,7.0,7.0,419.7300000000001,92.84,25.02,537.59,46.630895922330104,84.4518963122227,62.9892080624341,11.5309952115957,21.5504076614469,0.0,128240.0,7777.416666666667,TPP,SystmOne
A81025,00K,4,0.5770822178543956,2.0,2.0,421.16,97.0,27.0,545.1600000000001,32.4712364686072,63.1380730114405,49.7252031642684,19.7017079624729,19.9374548953572,0.0,91635.0,4070.25,TPP,SystmOne
A81026,00M,4,0.5805746522860723,12.0,13.0,424.71,97.0,25.57,547.2800000000001,37.5964401882694,86.0204189411829,51.3242716301443,17.1081198436822,21.2013315964684,0.0,322106.0,14078.833333333332,TPP,SystmOne
A81027,00K,4,0.41514765303744694,6.0,6.0,434.64,97.0,27.0,558.64,8.23829413524835,91.12862264851341,57.1817024367568,22.490650710545996,18.300673148840698,0.0,248165.0,13949.666666666668,TPP,SystmOne
A81029,00M,,0.4568952093316992,4.0,4.0,434.98,93.47,27.0,555.45,48.2322652529115,73.5656084838423,66.0944545013588,13.103927702467802,20.069516857838,0.0,147560.0,5833.833333333334,TPP,SystmOne
A81030,00M,4,0.620485185083918,8.0,10.0,427.60999999999996,97.0,27.0,551.6099999999999,28.1359696198374,86.20467653894009,50.2094365791655,19.433065705390803,21.4271669670654,0.0,261712.0,12789.0,TPP,SystmOne
A81031,00K,4,0.4542910365705801,9.0,10.0,412.78999999999996,91.17,25.630000000000003,529.59,35.146113504166,71.04160863972429,55.1295467717947,18.0532641998586,20.2529656689449,0.0,260959.0,12754.833333333332,TPP,SystmOne
A81032,00M,3,0.4426557530460158,9.0,8.0,420.26000000000005,97.0,27.0,544.26,19.635913420325803,87.33846789113409,57.0693867175937,23.6453671078945,18.449671459861,0.0,257264.0,10647.833333333334,TPP,SystmOne
A81033,00M,4,0.47204033289513003,4.0,4.0,396.48999999999995,91.50999999999999,27.0,515.0,50.64070438937,58.453157481431,58.510124148018505,15.168707076739302,19.396834876082398,0.0,101223.0,3391.8333333333335,TPP,SystmOne
A81034,00K,4,0.45107107434073973,,11.0,434.6,97.0,27.0,558.6,20.9880874741439,64.7865044770794,59.4331336277069,12.483338695592199,24.7570896722894,0.0,453466.0,21775.916666666664,TPP,SystmOne
A81035,00M,4,0.5249554376797553,5.0,5.0,435.0,96.81,25.369999999999997,557.18,44.041366626065795,68.8897254312128,51.8989686431021,15.151231388706801,21.850360520648,0.0,210367.0,10259.083333333334,EMIS,EMIS Web
A81036,00K,4,0.466985816513271,9.0,11.0,435.0,97.0,27.0,559.0,26.096492022645396,83.2010606631329,52.7398255933556,19.240665561209898,21.625021442049302,0.0,405685.0,17676.5,TPP,SystmOne
A81037,00M,,0.5482280254837621,4.0,4.0,391.78000000000003,97.0,27.0,515.78,47.4590997989661,70.1833516529089,57.7009255523252,13.387860525183001,22.918639690056,0.0,174837.0,6822.583333333333,TPP,SystmOne
A81038,00M,4,0.5793203128242966,2.0,2.0,405.46,97.0,24.490000000000002,526.9499999999999,47.9974169930702,70.0884087963955,46.389566751417206,12.473636637541402,26.8273576378427,0.0,95173.0,3353.583333333333,TPP,SystmOne
A81039,00K,4,0.5165670991195445,7.0,8.0,435.0,97.0,27.0,559.0,9.34291884761503,86.4749340899853,58.800227716266,18.4993668214436,21.593499366821398,0.0,189354.0,9910.416666666666,EMIS,EMIS Web
A81040,00K,4,0.49162142246733953,8.0,5.0,428.57000000000005,97.0,27.0,552.57,23.6427126557224,80.0979806557086,56.52466861071979,16.833527357392303,20.7357392316647,0.0,187269.0,8627.166666666666,EMIS,EMIS Web
A81041,00K,4,0.40361542311597043,5.0,5.0,432.0,97.0,27.0,556.0,34.1787125055139,78.63595124796129,61.3024733752751,19.6164866651973,18.225699801631,0.0,184732.0,9144.916666666668,TPP,SystmOne
A81042,00M,3,0.4619953534236667,5.0,6.0,428.13,97.0,27.0,552.13,45.631050456585704,72.4323582363279,69.0479954398924,15.6941649899396,23.340040241448698,0.0,306140.0,9816.0,TPP,SystmOne
A81043,00M,3,0.5807466461987316,7.0,9.0,421.24999999999994,96.19,27.0,544.4399999999999,32.3245892923998,73.32378481796829,58.521136388704996,21.4152002995133,19.792836640459303,0.0,233182.0,8193.749999999998,EMIS,EMIS Web
A81044,00K,4,0.3900472891605847,6.0,8.0,435.0,97.0,27.0,559.0,30.6203960467989,55.6089895158005,61.894810544631994,18.9012426422498,19.289295836058397,0.0,503539.0,19194.666666666668,TPP,SystmOne
A81045,00M,3,0.46151942343689606,2.0,2.0,430.99,97.0,27.0,554.99,27.5999660751566,80.50182438955359,61.305170087742795,21.6638458534045,19.8880354120557,0.0,240579.0,7632.916666666667,TPP,SystmOne
A81046,00K,,0.49625716851748547,7.0,7.0,429.30999999999995,92.67999999999999,26.95,548.9399999999999,29.0620707181455,73.53394839041091,62.899033366390896,20.415035238841,19.2466718872357,0.0,270635.0,12795.75,TPP,SystmOne
A81047,00M,3,0.38323087192903094,,,320.29,70.82,24.0,415.11,14.1313136160714,59.5216743447602,56.79877819699921,28.218005952381002,16.2983630952381,0.0,70220.0,2536.916666666667,TPP,SystmOne
A81048,00M,3,0.47736093229127513,7.0,7.0,435.0,97.0,27.0,559.0,15.6654640960063,62.065816839896605,55.4794946700216,27.0100255553371,18.1521525457047,0.0,212236.0,6222.166666666667,TPP,SystmOne
A81049,00M,4,0.48907506851315985,2.0,2.0,423.21000000000004,97.0,27.0,547.21,49.487518403790105,72.78987591782601,57.4106236204813,16.1078717201166,22.7332361516035,0.0,173351.0,5568.25,TPP,SystmOne
A81051,00M,4,0.5138591092429763,4.0,8.0,419.42999999999995,92.81,27.0,539.24,27.820175203572397,91.29467550844971,60.03351217391501,19.496195224350604,19.971136184728397,0.0,165472.0,7788.166666666666,TPP,SystmOne
A81052,00M,3,0.49193783438522465,4.0,4.0,426.73,95.45,25.25,547.4300000000001,27.962237845823303,70.0196837165024,64.1303903899903,20.6198014488865,19.0850550040247,0.0,226276.0,8068.333333333333,TPP,SystmOne
A81053,00M,3,0.6125831831058629,3.0,3.0,425.38000000000005,97.0,27.0,549.3800000000001,38.6403443155453,80.0591413659128,63.580849282533705,21.2960098979276,19.965975873801398,0.0,224925.0,6442.5,EMIS,EMIS Web
A81054,00M,,0.49706442178567356,4.0,4.0,427.05999999999995,97.0,27.0,551.06,27.689832395247002,72.6869832388799,65.9491621923472,18.226108682073697,20.1024359775141,0.0,230017.0,8104.083333333334,TPP,SystmOne
A81055,,,,,,,,,,,,,,,,,,,
A81056,00K,4,0.3454657222314662,2.0,2.0,435.0,97.0,27.0,559.0,24.016176401869195,95.02949405210079,63.1248487657989,20.404984423675998,17.4922118380062,0.0,55864.0,2576.416666666667,TPP,SystmOne
A81057,00K,4,0.47580227817562604,6.0,6.0,429.77,95.8,27.0,552.5699999999999,25.3090237823005,86.98800291339509,66.14846904040529,16.1408321902149,22.247370827617697,0.0,195178.0,8848.416666666666,TPP,SystmOne
A81058,00M,4,0.504719710624332,5.0,5.0,432.79,93.08,27.0,552.87,27.6086982059801,53.1459089853889,61.943770516035,18.0551870522685,24.4812947731494,0.0,184806.0,8154.75,EMIS,EMIS Web
A81060,00K,4,0.4783499328767086,4.0,4.0,405.21999999999997,94.28,25.740000000000002,525.24,31.6996736378646,89.41463010858222,60.9875021012196,19.225830122913198,20.7925151348376,0.0,101883.0,5659.833333333334,TPP,SystmOne
A81061,,,,,,,,,,,,,,,,,,,
A81063,00K,4,0.30140911984639734,2.0,2.0,422.65,96.21,27.0,545.86,36.148116601160396,90.1400823707047,59.182394633040296,18.110383536015,21.7661365762395,0.0,120620.0,5430.416666666667,EMIS,EMIS Web
A81064,00M,,0.49998042038627916,3.0,3.0,398.70000000000005,97.0,26.23,521.9300000000001,43.760775,75.3248856663561,45.6150202720022,12.558943728387302,20.1854762653254,0.0,118150.0,6382.583333333334,TPP,SystmOne
A81065,00M,3,0.4120438463624559,3.0,3.0,409.2099999999999,93.51,27.0,529.7199999999999,48.5491372321945,84.591834342981,66.69194582157539,13.4337000579039,23.4452808338159,0.0,108862.0,3807.75,TPP,SystmOne
A81066,00K,4,0.5179194733588655,2.0,3.0,432.68,88.38,27.0,548.06,14.4624101789449,87.4384292977895,51.423669755952,20.6688341848583,18.7320018578727,3221.0,100975.0,4350.583333333333,EMIS,EMIS Web
A81067,00K,4,0.5380462234425892,5.0,7.0,434.26,97.0,25.439999999999998,556.7,39.771779044568,78.6522969603909,61.84138247917279,11.0315591144607,22.0555817239755,0.0,210183.0,10842.0,TPP,SystmOne
A81068,,,,,,,,,,,,,,,,,,,
A81069,00M,3,,,,,,,,,,,,,,,,,
A81070,00K,4,0.5055664659159175,1.0,1.0,415.49999999999994,87.0,25.7,528.1999999999999,42.855391992091,81.1758712698818,65.8878502722078,9.787444389520509,28.887790410281802,0.0,65525.0,2591.3333333333335,TPP,SystmOne
A81071,,,,,,,,,,,,,,,,,,,
A81602,00K,4,0.42661522452052775,,1.0,427.92,91.54,27.0,546.46,21.7176780740151,95.47625208347158,55.7787443592759,25.308396339037,16.1241543971349,0.0,73621.0,2508.083333333333,EMIS,EMIS Web
A81605,00M,3,,,,,,,,,,,,,,,,,
A81608,00K,4,0.49666853776911124,2.0,2.0,428.41,97.0,27.0,552.4100000000001,37.335381013884394,82.5887676431935,54.49032538648729,9.78050355067786,28.0955455132343,0.0,103822.0,3564.9166666666665,TPP,SystmOne
A81609,00K,4,,,,426.49,97.0,24.0,547.49,,,,,,,,,,
A81610,00K,4,0.47449399130586856,4.0,4.0,415.78999999999996,91.91,26.68,534.3799999999999,22.820724534769802,70.1658747950936,56.30691198876579,15.254652301665,22.061704211557302,0.0,167482.0,7980.083333333334,EMIS,EMIS Web
A81611,00M,4,0.4223056470510414,7.0,8.0,432.32,94.6,27.0,553.92,25.777638206845197,87.0078858868968,57.0066261897062,16.1655530809206,22.9584261321455,0.0,133144.0,6594.250000000001,EMIS,EMIS Web
A81612,00K,4,0.42021940119173684,2.0,2.0,434.62,97.0,27.0,558.62,22.057191965755703,85.6176689761601,49.727474485790005,19.651086240948,19.519420671494398,0.0,62186.0,3198.0,TPP,SystmOne
A81613,00K,4,0.0,,,394.2699999999999,86.86999999999999,24.0,505.13999999999993,,,,,,,3.0,,,
A81618,00M,3,0.5904069442769009,6.0,6.0,435.0,97.0,27.0,559.0,21.3563162196679,94.6701947345908,66.360592885092,23.8356513972183,17.8486665816001,0.0,232514.0,8708.416666666666,EMIS,EMIS Web
A81620,,,,,,,,,,,,,,,,,,,
A81621,00M,4,0.48635365876226294,3.0,3.0,416.01000000000005,95.28,27.0,538.2900000000001,65.5686510277033,65.93978267279411,71.6015563903649,6.478999106344951,35.2278820375335,0.0,52679.0,2286.9166666666665,TPP,SystmOne
A81622,00K,4,0.3733276962674997,3.0,3.0,435.0,97.0,27.0,559.0,37.6672454704851,85.15290625772059,67.228348613925,16.501264837517,23.1367970422261,0.0,106050.0,5394.75,TPP,SystmOne
A81623,00K,4,,,,,,,,,,,,,,,,,
A81625,,,,,,,,,,,,,,,,,,,
A81627,,,,,,,,,,,,,,,,,,,
A81629,00K,4,0.47744448952747887,2.0,2.0,428.43,97.0,27.0,552.4300000000001,36.1736156003059,82.6062798815728,54.32584501530311,17.1297476421106,21.3815957175631,0.0,108792.0,4579.0,TPP,SystmOne
A81630,112,4,0.41459662296084593,3.0,4.0,175.77000000000004,87.0,24.0,286.77000000000004,,,,,,0.0,65995.0,741.9166666666666,TPP,SystmOne
A81631,00K,4,0.46773003893424403,4.0,4.0,427.6099999999999,94.73,27.0,549.3399999999999,34.0212731974922,85.0901241401167,63.867228913408205,17.3327064723398,22.8177401661182,0.0,120290.0,6591.916666666667,TPP,SystmOne
A81632,00K,4,0.4312163264483471,6.0,6.0,284.88,87.0,27.0,398.88,,,,,,0.0,21957.0,554.0833333333334,TPP,SystmOne
A81633,00M,4,0.16431832679175512,1.0,2.0,229.34,87.0,24.0,340.34000000000003,64.8283788395904,,,0.227531285551763,16.7235494880546,0.0,3625.0,775.6666666666667,TPP,SystmOne
A81634,00K,4,0.2911414107781289,1.0,1.0,323.9,85.33,24.0,433.22999999999996,58.38800180505421,74.24669804823729,56.8113909616745,1.3838748495788202,25.342960288808698,0.0,19426.0,1914.4166666666665,TPP,SystmOne
A82001,,,,,,,,,,,,,,,,,,,
A82003,01K,1,0.4212240016792215,8.0,8.0,418.31,96.37,27.0,541.6800000000001,15.5199748752834,92.72961753914171,49.8468362782559,24.734693877551,17.0902494331066,0.0,189659.0,11008.833333333334,EMIS,EMIS Web
A82004,01H,1,0.4404670825470868,,,433.85,78.4,26.93,539.18,19.059456540825302,93.78274112274771,53.785345319305705,24.187884108867397,14.3810359964881,1087.0,62944.0,2244.4999999999995,EMIS,EMIS Web
A82005,01K,1,0.4437820895779317,4.0,4.0,429.73,96.07,27.0,552.8,12.4883159140209,92.8360368127963,52.4665302278062,22.3439639992174,12.525924476619101,0.0,112900.0,6345.25,EMIS,EMIS Web
A82006,01H,1,0.4204040366817882,4.0,4.0,432.77,95.33,27.0,555.1,15.0698733249581,83.04726265955621,51.8031532679424,27.931323283082104,16.0678391959799,0.0,103856.0,4830.916666666667,EMIS,EMIS Web
A82007,01K,3,0.47455245810497343,6.0,6.0,435.0,97.0,27.0,559.0,35.5425959384486,80.87825722395691,60.978247177441,19.5331309536271,20.57364178792,0.0,243057.0,9528.583333333334,EMIS,EMIS Web
A82008,01K,3,0.5311843365931268,7.0,7.0,421.27000000000004,96.88,26.759999999999998,544.9100000000001,31.9610107851202,54.7668753890075,63.064733789937705,22.5025134814002,19.2450415866923,0.0,275053.0,10957.0,EMIS,EMIS Web
A82009,01K,3,0.3659320440417653,7.0,7.0,435.0,97.0,27.0,559.0,34.6143173381621,82.72606708280509,60.7390458004702,20.948392937981,19.866455409687603,0.0,245085.0,8961.666666666668,EMIS,EMIS Web
A82010,01K,3,0.5260872591701332,4.0,4.0,426.08,96.49000000000001,19.59,542.16,27.0954917052757,63.8422479696444,58.843639786420205,17.695411747123,19.5486474368555,0.0,160101.0,6680.083333333334,EMIS,EMIS Web
A82011,01K,3,,,,,,,,,,,,,,,,,
A82012,01H,3,0.48265936438480644,12.0,12.0,426.73,97.0,27.0,550.73,15.196262630183101,89.19266455215401,64.3599050032261,25.321777375331504,17.733652415755802,11116.0,412902.0,15660.833333333334,EMIS,EMIS Web
A82013,01H,1,0.48090742372382095,8.0,8.0,424.62,87.0,27.0,538.62,19.1478558063558,94.6574147703236,56.0331533664683,27.294327294327303,16.964656964657,4415.0,168467.0,6802.083333333333,EMIS,EMIS Web
A82014,01H,1,0.3794823681011074,5.0,6.0,429.3,93.94,26.5,549.74,15.996532879286,98.7558754371391,42.667904248637704,28.1117895725693,14.687646782527,3787.0,118317.0,4210.333333333333,EMIS,EMIS Web
A82015,01H,3,0.41164048533687964,2.0,1.0,435.0,87.0,27.0,549.0,29.265464426170897,54.8640829248151,59.34220744172179,18.602573266619,17.944960686204396,0.0,115902.0,5543.333333333333,EMIS,EMIS Web
A82016,01H,3,0.5330154159970908,,,435.0,97.0,27.0,559.0,23.703779439779897,56.9753245610518,62.1902325232685,20.7801368413628,19.5513860478239,0.0,696990.0,36065.08333333333,EMIS,EMIS Web
A82017,01H,3,0.0,,,430.0,97.0,27.0,554.0,,,,,,,13.0,,,
A82018,01H,3,0.45986262998694877,8.0,9.0,434.17,93.32,27.0,554.49,24.2527312018946,85.77660569642559,47.5751344738105,18.366311516996397,18.7789616100118,0.0,196638.0,12115.416666666668,EMIS,EMIS Web
A82019,01H,3,0.33846618911999415,7.0,7.0,374.00999999999993,96.78999999999999,26.380000000000003,497.17999999999995,24.555900847556,70.4921149374601,53.3863794190419,17.8463680668369,19.8584358319796,0.0,158713.0,8466.416666666666,EMIS,EMIS Web
A82020,01H,3,0.47108756756793113,8.0,8.0,413.63000000000005,96.07,26.25,535.95,25.354595525405998,70.4198070557084,54.263808413150606,18.4608367001173,20.619053825101,0.0,252404.0,15287.916666666666,EMIS,EMIS Web
A82021,01H,1,0.42761125315796455,9.0,11.0,435.0,97.0,27.0,559.0,13.184291447682801,74.96586332148671,52.6306057744275,22.7498566787693,18.885916300401302,3285.0,365952.0,17124.75,EMIS,EMIS Web
A82022,01H,3,0.46164419770848436,5.0,5.0,433.34,97.0,27.0,557.3399999999999,15.438391089108901,69.531984010342,50.2399365638966,25.1533742331288,18.2584603206016,3999.0,131211.0,5123.333333333334,EMIS,EMIS Web
A82023,01H,1,0.3130154430277868,6.0,6.0,434.45000000000005,97.0,27.0,558.45,25.259983910891105,95.7019675823974,63.818484640061506,24.25142291512,17.5303142786439,3009.0,126327.0,4294.333333333334,EMIS,EMIS Web
A82024,01H,1,0.4399220659161244,5.0,7.0,432.28,97.0,27.0,556.28,14.0975209709084,87.36758100379991,56.3718558997614,28.823844369088,15.5381045868285,3838.0,139239.0,5624.0,EMIS,EMIS Web
A82025,01K,1,0.4788851271590912,7.0,7.0,423.66999999999996,90.68,27.0,541.3499999999999,13.369520108923302,92.1761955548197,58.615271065277604,20.2848465807938,18.632317520159198,0.0,186267.0,9805.166666666668,EMIS,EMIS Web
A82026,01K,1,0.4283600191118282,7.0,7.0,424.55999999999995,90.04,27.0,541.5999999999999,11.7657649464694,91.0947198818788,45.9472726900887,23.048237699987997,18.9955491399014,3778.0,348497.0,17095.0,EMIS,EMIS Web
A82027,01K,1,0.3828632486801135,10.0,10.0,417.24,95.34,27.0,539.58,12.4800099460074,70.1003837164778,60.7695533794802,24.0954726273916,16.2625497253268,1876.0,239529.0,10349.083333333332,EMIS,EMIS Web
A82028,01H,1,0.40872154258426735,7.0,7.0,434.96,97.0,27.0,558.96,11.610200764526,92.7863680713133,53.0064359929479,27.232415902140698,15.614678899082598,2438.0,161578.0,7467.75,EMIS,EMIS Web
A82029,01H,1,0.3767971958641197,4.0,4.0,420.63,96.96000000000001,27.0,544.59,18.124614294152398,89.36988350674909,57.12287947461329,23.9564961787184,17.942386831275698,3116.0,74160.0,3482.25,EMIS,EMIS Web
A82030,01K,2,0.4560126223438167,7.0,7.0,424.6499999999999,89.29,27.0,540.9399999999999,10.857617970049901,97.3558014817719,58.182181550349505,28.286189683860197,16.3460898502496,3930.0,152984.0,6001.75,EMIS,EMIS Web
A82031,01H,1,0.4172146852594845,3.0,3.0,434.88,97.0,27.0,558.88,14.508625128733302,92.83228645750609,56.7783627226843,23.7212495708891,17.0889117748026,2855.0,74514.0,2945.9166666666665,EMIS,EMIS Web
A82032,01H,1,0.4540748217109679,10.0,11.0,435.0,97.0,27.0,559.0,31.662343887101496,74.8241763100305,63.8255554624801,22.491956712489,18.974846446329302,0.0,360315.0,13700.916666666666,EMIS,EMIS Web
A82033,01K,1,0.5274715438938368,6.0,6.0,408.5299999999999,79.3,25.25,513.0799999999999,27.392265667736897,85.6719154754545,67.3258148202172,23.914853133547396,18.3232251159472,0.0,192619.0,8345.25,EMIS,EMIS Web
A82034,01K,1,0.47720631233249616,6.0,6.0,433.18000000000006,97.0,27.0,557.1800000000001,8.437960307878049,95.36406814960259,64.66300612312921,33.0817989737398,16.3386658617567,2545.0,165259.0,6579.0,EMIS,EMIS Web
A82035,01H,1,0.49721434931039915,13.0,12.0,419.86,96.27,26.810000000000002,542.94,14.2423380374138,71.0031498978766,55.94033391544029,23.642927469642302,17.713160485723698,0.0,258243.0,14676.25,EMIS,EMIS Web
A82036,01H,1,0.3734054685410484,6.0,6.0,423.2099999999999,96.83,27.0,547.04,14.261948530181,78.87782883038209,59.064849781770704,24.6469295951459,16.606339575269402,0.0,186728.0,9995.833333333334,EMIS,EMIS Web
A82037,01H,1,0.3169541998882831,3.0,3.0,435.0,97.0,27.0,559.0,22.5386614620298,86.3716372032037,57.396058121044206,30.210551218358198,15.254317482848402,0.0,128204.0,4191.666666666667,EMIS,EMIS Web
A82038,01H,1,0.3957748512164225,3.0,3.0,419.53,76.24,27.0,522.77,15.9223712804328,85.0876680446444,51.010745938582296,22.0018034265104,20.175834084761,3714.0,87035.0,4518.583333333333,EMIS,EMIS Web
A82039,01K,3,0.4143131915637082,9.0,9.0,419.39,95.25,27.0,541.64,18.816958623128603,85.65562174757291,52.788040590813104,22.032299893905503,18.1020865259932,0.0,166060.0,8565.416666666666,EMIS,EMIS Web
A82040,01H,1,0.0,,,416.23999999999995,97.0,26.11,539.35,,,,,,,7.0,,,
A82041,01H,1,0.4966375792598811,1.0,1.0,431.15000000000003,92.16,27.0,550.3100000000001,28.5577637818613,48.6471863697608,50.744510761533796,19.0673779885398,20.671803991306103,0.0,274229.0,9915.5,EMIS,EMIS Web
A82042,,,,,,,,,,,,,,,,,,,
A82044,01H,1,0.5499703525989303,7.0,7.0,412.63000000000005,95.05,27.0,534.6800000000001,27.5984604965137,68.94025710991299,44.399159917733705,19.824140687449997,19.1979749533706,0.0,591376.0,22698.583333333336,EMIS,EMIS Web
A82045,01H,1,0.48029043595584986,,,425.8,92.26,27.0,545.0600000000001,18.7976969444775,95.44680677497058,53.149884654529295,21.791825095057,19.584125475285198,0.0,198058.0,8607.833333333332,EMIS,EMIS Web
A82046,01K,1,0.4108346607270289,3.0,3.0,425.43,97.0,26.85,549.2800000000001,11.1802419270379,90.9793612302849,41.9779209665556,21.3451820874717,16.786896671894098,0.0,94355.0,5844.75,EMIS,EMIS Web
