practice,pct,rural_urban_code,mean_percentile,num_gps_june,num_gps_sept,CL,PH,PHAS,TOTAL,Value_imd,Value_satisfaction,Value_long_term_health,Value_over_65,Value_under_18,dispensing_patients,total_items,list_size,Principal Supplier,Principal System
00D999,,,,,,,,,,,,,,,,1.0,,,
00J999,,,,,,,,,,,,,,,,62.0,,,
00M999,,,,,,,,,,,,,,,,1.0,,,
00N999,,,,,,,,,,,,,,,,1.0,,,
01A999,,,,,,,,,,,,,,,,2.0,,,
01F999,,,,,,,,,,,,,,,,1.0,,,
01G999,,,,,,,,,,,,,,,,1.0,,,
02F999,,,,,,,,,,,,,,,,23.0,,,
03H999,,,,,,,,,,,,,,,,1.0,,,
03L999,,,,,,,,,,,,,,,,1.0,,,
03V999,,,,,,,,,,,,,,,,,,,
03Y999,,,,,,,,,,,,,,,,1.0,,,
04E999,,,,,,,,,,,,,,,,1.0,,,
04N999,,,,,,,,,,,,,,,,2.0,,,
04R999,,,,,,,,,,,,,,,,,,,
05G999,,,,,,,,,,,,,,,,2.0,,,
05R999,,,,,,,,,,,,,,,,,,,
05T999,,,,,,,,,,,,,,,,,,,
07H999,,,,,,,,,,,,,,,,2.0,,,
07L999,,,,,,,,,,,,,,,,,,,
07R999,,,,,,,,,,,,,,,,,,,
08D999,,,,,,,,,,,,,,,,1.0,,,
08N999,,,,,,,,,,,,,,,,2.0,,,
09H999,,,,,,,,,,,,,,,,1.0,,,
09X999,,,,,,,,,,,,,,,,,,,
11E999,,,,,,,,,,,,,,,,1.0,,,
11M999,,,,,,,,,,,,,,,,,,,
12D999,,,,,,,,,,,,,,,,1.0,,,
A81001,00K,4,0.40470964410215393,2.0,,425.69000000000005,97.0,24.0,546.69,29.140310336708303,76.02048768372941,57.8950132736407,22.674829291264402,19.722156816576398,0.0,92445.0,4160.416666666667,TPP,SystmOne
A81002,00K,4,0.4952339127149278,12.0,12.0,435.0,97.0,27.0,559.0,29.6897059445844,85.1663347003187,58.8724639929286,21.025589361273397,18.7769494257506,0.0,457691.0,19945.5,TPP,SystmOne
A81003,00K,4,,,,425.34,97.0,27.0,549.3399999999999,,,,,,,,,,
A81004,00M,4,0.49281301627441326,2.0,3.0,427.63,97.0,27.0,551.63,34.411828352490396,72.9551682820935,50.0530754798184,18.898240244835502,18.135315335009302,0.0,197867.0,9572.25,TPP,SystmOne
A81005,00M,3,0.37389331564120526,8.0,9.0,429.72,91.76,27.0,548.48,15.743812229849999,85.1188311148581,52.1331580138632,26.6268429079817,17.5851550584647,0.0,193415.0,7957.583333333334,TPP,SystmOne
